r,g,b,count,percent,hex_rgb
6,5,5,615,0.1610268011,#060505
0,0,0,604,0.1581466470,#000000
3,1,1,527,0.1379855678,#030101
3,2,2,509,0.1332725883,#030202
6,4,4,330,0.0864046250,#060404
2,1,1,330,0.0864046250,#020101
4,1,1,318,0.0832626386,#040101
4,3,3,306,0.0801206523,#040303
4,2,2,302,0.0790733235,#040202
3,3,3,293,0.0767168337,#030303
7,6,6,288,0.0754076727,#070606
7,3,3,288,0.0754076727,#070303
6,1,1,285,0.0746221761,#060101
7,5,5,282,0.0738366795,#070505
255,255,255,279,0.0730511830,#FFFFFF
6,2,2,278,0.0727893508,#060202
6,3,3,275,0.0720038542,#060303
5,4,4,274,0.0717420220,#050404
7,4,4,272,0.0712183576,#070404
7,2,2,271,0.0709565254,#070202
5,3,3,271,0.0709565254,#050303
7,1,1,270,0.0706946932,#070101
5,2,2,270,0.0706946932,#050202
5,1,1,262,0.0686000356,#050101
6,6,6,239,0.0625778951,#060606
8,2,2,225,0.0589122443,#080202
8,6,6,224,0.0586504121,#080606
8,7,7,216,0.0565557545,#080707
8,4,4,215,0.0562939224,#080404
8,3,3,215,0.0562939224,#080303
8,5,5,207,0.0541992648,#080505
8,1,1,206,0.0539374326,#080101
3,0,0,190,0.0497481174,#030000
4,4,4,170,0.0445114735,#040404
2,2,2,168,0.0439878091,#020202
9,3,3,163,0.0426786481,#090303
10,9,9,162,0.0424168159,#0A0909
10,3,3,162,0.0424168159,#0A0303
10,7,7,161,0.0421549837,#0A0707
10,5,5,161,0.0421549837,#0A0505
10,8,8,160,0.0418931515,#0A0808
9,1,1,160,0.0418931515,#090101
9,6,6,156,0.0408458227,#090606
10,2,2,155,0.0405839905,#0A0202
9,7,7,155,0.0405839905,#090707
10,4,4,153,0.0400603261,#0A0404
10,1,1,153,0.0400603261,#0A0101
9,5,5,153,0.0400603261,#090505
9,4,4,153,0.0400603261,#090404
9,8,8,152,0.0397984939,#090808
10,6,6,151,0.0395366617,#0A0606
9,2,2,151,0.0395366617,#090202
13,3,3,141,0.0369183398,#0D0303
13,6,6,140,0.0366565076,#0D0606
13,2,2,140,0.0366565076,#0D0202
12,3,3,139,0.0363946754,#0C0303
13,9,9,136,0.0356091788,#0D0909
12,8,8,136,0.0356091788,#0C0808
13,12,12,135,0.0353473466,#0D0C0C
13,10,10,135,0.0353473466,#0D0A0A
12,6,6,135,0.0353473466,#0C0606
12,5,5,135,0.0353473466,#0C0505
13,4,4,134,0.0350855144,#0D0404
12,9,9,134,0.0350855144,#0C0909
12,7,7,134,0.0350855144,#0C0707
12,1,1,134,0.0350855144,#0C0101
4,0,0,134,0.0350855144,#040000
13,11,11,132,0.0345618500,#0D0B0B
13,7,7,132,0.0345618500,#0D0707
13,5,5,132,0.0345618500,#0D0505
12,4,4,130,0.0340381856,#0C0404
12,11,11,129,0.0337763534,#0C0B0B
12,10,10,129,0.0337763534,#0C0A0A
12,2,2,129,0.0337763534,#0C0202
13,8,8,125,0.0327290246,#0D0808
13,1,1,123,0.0322053602,#0D0101
14,3,3,121,0.0316816958,#0E0303
11,4,4,120,0.0314198636,#0B0404
14,13,13,119,0.0311580314,#0E0D0D
14,11,11,119,0.0311580314,#0E0B0B
14,9,9,119,0.0311580314,#0E0909
14,6,6,119,0.0311580314,#0E0606
15,8,8,118,0.0308961992,#0F0808
11,3,3,118,0.0308961992,#0B0303
11,1,1,118,0.0308961992,#0B0101
18,7,7,117,0.0306343670,#120707
15,14,14,117,0.0306343670,#0F0E0E
11,6,6,117,0.0306343670,#0B0606
11,5,5,117,0.0306343670,#0B0505
18,12,12,116,0.0303725348,#120C0C
15,12,12,116,0.0303725348,#0F0C0C
11,9,9,116,0.0303725348,#0B0909
11,7,7,116,0.0303725348,#0B0707
11,2,2,116,0.0303725348,#0B0202
6,0,0,116,0.0303725348,#060000
11,8,8,115,0.0301107027,#0B0808
15,6,6,114,0.0298488705,#0F0606
15,5,5,114,0.0298488705,#0F0505
15,2,2,112,0.0293252061,#0F0202
18,14,14,111,0.0290633739,#120E0E
18,4,4,111,0.0290633739,#120404
15,11,11,111,0.0290633739,#0F0B0B
14,5,5,111,0.0290633739,#0E0505
11,10,10,111,0.0290633739,#0B0A0A
18,16,16,110,0.0288015417,#121010
15,9,9,110,0.0288015417,#0F0909
15,4,4,110,0.0288015417,#0F0404
14,8,8,110,0.0288015417,#0E0808
14,2,2,110,0.0288015417,#0E0202
14,12,12,109,0.0285397095,#0E0C0C
19,13,13,108,0.0282778773,#130D0D
18,9,9,108,0.0282778773,#120909
18,3,3,108,0.0282778773,#120303
18,2,2,108,0.0282778773,#120202
15,3,3,108,0.0282778773,#0F0303
2,0,0,108,0.0282778773,#020000
19,17,17,107,0.0280160451,#131111
19,15,15,107,0.0280160451,#130F0F
18,1,1,107,0.0280160451,#120101
19,6,6,106,0.0277542129,#130606
18,10,10,106,0.0277542129,#120A0A
14,4,4,105,0.0274923807,#0E0404
19,18,18,104,0.0272305485,#131212
19,2,2,104,0.0272305485,#130202
15,13,13,104,0.0272305485,#0F0D0D
14,10,10,104,0.0272305485,#0E0A0A
18,17,17,103,0.0269687163,#121111
18,15,15,103,0.0269687163,#120F0F
15,10,10,103,0.0269687163,#0F0A0A
14,7,7,103,0.0269687163,#0E0707
8,8,8,103,0.0269687163,#080808
14,1,1,102,0.0267068841,#0E0101
19,11,11,100,0.0261832197,#130B0B
18,13,13,100,0.0261832197,#120D0D
19,14,14,99,0.0259213875,#130E0E
19,10,10,99,0.0259213875,#130A0A
19,9,9,99,0.0259213875,#130909
19,7,7,99,0.0259213875,#130707
18,11,11,99,0.0259213875,#120B0B
18,8,8,99,0.0259213875,#120808
18,5,5,99,0.0259213875,#120505
19,5,5,98,0.0256595553,#130505
15,1,1,97,0.0253977231,#0F0101
19,4,4,96,0.0251358909,#130404
19,3,3,96,0.0251358909,#130303
15,7,7,96,0.0251358909,#0F0707
19,1,1,93,0.0243503943,#130101
9,9,9,92,0.0240885621,#090909
7,7,7,92,0.0240885621,#070707
24,13,13,90,0.0235648977,#180D0D
19,12,12,90,0.0235648977,#130C0C
19,8,8,90,0.0235648977,#130808
